action,reward,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11
0,0.0,298.6,0.0,100.46885,0.0,0.32373196,0.1000061,298.6,298.5,0.17224067,0.15359546,6805.0,66.97923,298.6,0.0,66.97923,0.0,0.32373196,0.1000061,298.6,298.5,0.17224067,0.15359546,6805.0,66.97923
1,0.0,298.6,0.0,167.44809,0.0,0.30067167,0.1000061,298.6,298.5,0.18629882,0.15614195,9555.0,66.97923,298.6,0.0,66.97923,0.0,0.30067167,0.1000061,298.6,298.5,0.18629882,0.15614195,9555.0,66.97923
1,-0.01,298.575,-0.1000061,1846.4272,0.043303914,0.2950995,0.1000061,298.6,298.5,0.17746556,0.15479687,7240.0,1678.9791,298.5,-0.1000061,1678.9791,0.043303914,0.2950995,0.1000061,298.6,298.5,0.17746556,0.15479687,7240.0,1678.9791
1,-0.01,298.56,-0.1000061,1953.6812,0.048992787,0.25871637,0.1000061,298.6,298.5,0.18297346,0.11869594,6619.5,107.253845,298.5,-0.1000061,107.253845,0.048992787,0.25871637,0.1000061,298.6,298.5,0.18297346,0.11869594,6619.5,107.253845
2,0.0,298.55002,-0.1000061,2991.8594,0.050003055,0.256277,0.1000061,298.6,298.5,0.18297346,0.11924213,5536.4,1038.1782,298.5,-0.1000061,1038.1782,0.050003055,0.256277,0.1000061,298.6,298.5,0.18297346,0.11924213,5536.4,1038.1782
2,0.0,298.54288,-0.1000061,9524.4375,0.04949019,0.25577918,0.1000061,298.6,298.5,0.18297346,0.11830328,4633.6665,6532.578,298.5,-0.1000061,6532.578,0.04949019,0.25577918,0.1000061,298.6,298.5,0.18297346,0.11830328,4633.6665,6532.578
1,-0.01,298.5375,-0.1000061,17821.275,0.048415247,0.254403,0.1000061,298.6,298.5,0.18297346,0.115703784,3983.1428,8296.838,298.5,-0.1000061,8296.838,0.048415247,0.254403,0.1000061,298.6,298.5,0.18297346,0.115703784,3983.1428,8296.838
1,-0.01,298.53333,-0.1000061,22769.85,0.047143333,0.254403,0.1000061,298.6,298.5,0.18297346,0.115703784,3487.875,4948.574,298.5,-0.1000061,4948.574,0.047143333,0.254403,0.1000061,298.6,298.5,0.18297346,0.115703784,3487.875,4948.574
1,-0.01,298.53,-0.1000061,22930.857,0.04582855,0.275316,0.2000122,298.6,298.4,0.18619944,0.22734645,3100.4443,161.00827,298.5,-0.1000061,161.00827,0.04582855,0.275316,0.2000122,298.6,298.4,0.18619944,0.22734645,3100.4443,161.00827
2,0.0,298.52728,-0.1000061,22964.357,0.044538897,0.275316,0.2000122,298.6,298.4,0.18619944,0.22734645,2790.4,33.50084,298.5,-0.1000061,33.50084,0.044538897,0.275316,0.2000122,298.6,298.4,0.18619944,0.22734645,2790.4,33.50084
